kappa,gamma,s
0.5570584582469164,0.9259219028443814,0.5659134260520123
0.7545706703441004,0.804400402522278,0.23320451339343137
1.4554009886777903,0.7254750015343477,0.6099410425300303
2.642675100820048,1.738076984783619,0.33571998825128163
1.7533655389184097,1.267366572613318,0.19940781968172205
1.6759784669534403,1.8263674304853446,0.25500620963083537
0.44057545229824646,0.434808421847739,0.7459174780779664
1.027584182551407,1.726026111096106,0.16062917118873415
1.3234175035181055,0.7529044515181185,0.8272377340454108
1.2227620322871242,1.4566222254697843,0.3419146811722696
0.8320210909497668,0.7005682345796977,0.8153371720077014
0.6447203175436547,0.8459563556294966,0.07851592190050653
0.5932115948934011,0.8925317650617426,0.42306067011939824
0.9998367300132629,0.6174060570500585,0.7132042139015426
1.111727623771155,0.9708902521581649,0.4712989502298041
0.7133310513359515,0.8532548249741866,0.13838088539282037
2.0501976318679875,1.9382079850092677,0.10043453308926016
1.3799616321117825,1.741071771321491,0.16596495306738077
0.8960689521816085,0.6924530458615729,0.9119280219286532
0.987823620693258,0.7959575635816457,0.5380068690699245
2.0331821730881043,1.6276638789700604,0.3925005689611655
2.954336135644938,2.0737754765715555,0.5456373382892652
1.1431640197647606,1.4629973604046638,0.4706789153937112
2.097797657697746,2.6525541880683625,0.13638561992419881
1.4722258515150761,2.266828585185905,0.22977213072255384
1.1353037149987064,2.470951404590339,0.13448645110249283
1.8118552165225328,2.9562279585511564,0.049950159312996026
3.16354751825262,2.7948537913410703,0.3548089617768584
0.26878662520303487,0.8104637575642992,0.26091208069191385
1.4744774796885431,1.0150830538418567,0.3104503109144594
1.5817294928893946,0.7210124780197342,0.9289242758454171
1.0510993776149014,1.1548674267558896,0.3145251490348942
1.7843332831513616,1.749366077497502,0.30271882412007073
2.6514565442686173,2.11745381692165,0.1959781408950397
0.6318761703563611,1.2142911806627568,0.3587628446365058
0.9197033855243991,1.090230442938715,0.18383169048774212
3.5544514684490216,3.194250644756503,0.06782363906382947
0.1605639100796242,0.2711191222010071,0.8823298117205438
1.6493183009467385,1.2911786677854038,0.1620537957954722
0.9423751226135908,0.7544550629004843,0.6151679166548869
3.2272784669633787,2.5448005230729405,0.21768362904496405
1.89810030739867,1.9461208392231033,0.3376766554385708
2.741883698537029,3.0321704021641076,0.13025868103108043
